City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Alfred,35,ZA,1614750267,96,-33.5906,26.891,293.15,2.24
1,Lastoursville,100,GA,1614750267,95,-0.8143,12.7287,296.35,0.41
2,Punta Arenas,0,CL,1614750130,81,-53.15,-70.9167,280.15,3.09
3,Hofn,100,IS,1614750267,87,64.2539,-15.2082,274.77,7.64
4,Puerto Ayora,92,EC,1614750268,95,-0.7393,-90.3518,297.59,0.45
5,Najrān,0,SA,1614750163,37,17.4924,44.1277,293.15,4.12
6,Kahului,40,US,1614750268,73,20.8947,-156.47,294.15,5.14
7,New Norfolk,97,AU,1614750268,64,-42.7826,147.0587,289.26,0.89
8,Coahuayana Viejo,1,MX,1614750268,94,18.7333,-103.6833,293.68,1.53
9,Salalah,20,OM,1614750268,69,17.0151,54.0924,298.15,2.06
10,Provideniya,0,RU,1614750268,71,64.3833,-173.3,256.15,9.0
11,Aklavik,100,CA,1614750268,76,68.2191,-135.0107,243.15,1.54
12,Karaton,20,ID,1614750269,66,-6.3424,106.1045,306.48,4.63
13,Faanui,80,PF,1614750269,72,-16.4833,-151.75,301.53,1.4
14,Vaini,75,TO,1614750270,88,-21.2,-175.2,298.15,7.2
15,Talnakh,0,RU,1614750270,77,69.4865,88.3972,243.41,4.3
16,Jamestown,1,US,1614750270,60,42.097,-79.2353,272.59,5.74
17,Los Llanos de Aridane,90,ES,1614750270,68,28.6585,-17.9182,291.15,1.54
18,Tasiilaq,75,GL,1614750270,43,65.6145,-37.6368,270.15,9.77
19,Ushuaia,0,AR,1614750270,61,-54.8,-68.3,282.15,2.57
20,Verāval,0,IN,1614750270,22,20.9,70.3667,303.01,1.91
21,Beira,75,MZ,1614750271,83,-19.8436,34.8389,298.15,4.63
22,Mataura,84,NZ,1614750271,76,-46.1927,168.8643,290.37,5.36
23,Camacha,40,PT,1614750271,72,33.0833,-16.3333,287.15,1.03
24,Sorso,63,IT,1614750271,93,40.8,8.5772,280.15,1.54
25,Longyearbyen,20,SJ,1614750271,72,78.2186,15.6401,258.15,2.57
26,Busselton,100,AU,1614750272,93,-33.65,115.3333,293.71,0.45
27,Mizdah,68,LY,1614750272,88,31.4451,12.9801,283.04,8.8
28,Havre-St-Pierre,90,CA,1614750272,73,50.2334,-63.5986,267.15,4.12
29,Chui,61,UY,1614750272,92,-33.6971,-53.4616,295.2,3.64
30,Illela,0,NG,1614750272,17,13.7292,5.2975,297.5,7.43
31,Port Elizabeth,75,ZA,1614750273,83,-33.918,25.5701,294.15,5.66
32,Fortuna,48,US,1614750273,93,40.5982,-124.1573,281.48,1.4
33,Saskylakh,75,RU,1614750273,80,71.9167,114.0833,235.02,0.9
34,Lompoc,1,US,1614750211,87,34.6391,-120.4579,281.48,1.54
35,São Filipe,52,CV,1614750273,74,14.8961,-24.4956,294.04,3.34
36,Yerbogachën,97,RU,1614750273,83,61.2767,108.0108,244.22,2.28
37,Arraial do Cabo,98,BR,1614750199,86,-22.9661,-42.0278,297.8,10.56
38,Tuktoyaktuk,75,CA,1614750273,76,69.4541,-133.0374,244.15,2.06
39,Kapaa,40,US,1614750274,68,22.0752,-159.319,295.15,10.29
40,Rikitea,36,PF,1614750274,71,-23.1203,-134.9692,299.05,1.86
41,Vilyuysk,89,RU,1614750274,91,63.7553,121.6247,242.49,1.98
42,Avera,90,US,1614750274,95,33.194,-82.5271,278.15,3.6
43,Cape Town,75,ZA,1614749672,94,-33.9258,18.4232,294.26,2.06
44,East London,0,ZA,1614750275,73,-33.0153,27.9116,296.15,2.57
45,Mayo,1,US,1614750275,55,38.8876,-76.5119,274.82,1.54
46,Kaitangata,61,NZ,1614750275,73,-46.2817,169.8464,290.93,0.95
47,Petlāwad,0,IN,1614750275,8,23.0,74.8,305.56,3.27
48,Cabra,0,ES,1614750275,76,37.4725,-4.4421,284.82,1.79
49,Gopālpur,36,IN,1614750275,33,19.2667,84.9167,303.84,3.11
50,Aksarka,100,RU,1614750275,95,66.5606,67.7975,260.07,3.68
51,Acapulco de Juárez,68,MX,1614750143,81,16.8634,-99.8901,296.4,1.58
52,Mehamn,75,NO,1614750275,80,71.0357,27.8492,269.15,1.54
53,Mazamari,61,PE,1614750276,75,-11.3258,-74.5308,292.79,0.83
54,St. George's,20,GD,1614750276,78,12.0564,-61.7485,298.15,7.2
55,Tura,6,IN,1614750276,14,25.5198,90.2201,303.97,1.92
56,Goreloye,78,RU,1614750276,96,52.937,41.5043,269.09,6.11
57,São Gabriel da Cachoeira,99,BR,1614750255,96,-0.1303,-67.0892,295.66,0.76
58,Butaritari,0,KI,1614750277,81,3.0707,172.7902,300.67,7.58
59,Bubaque,0,GW,1614750277,69,11.2833,-15.8333,297.84,4.66
60,Ankola,1,IN,1614750277,44,14.6667,74.3,306.0,3.04
61,Keningau,20,MY,1614750277,70,5.3378,116.1602,304.15,2.06
62,Corner Brook,75,CA,1614750277,85,48.9667,-57.9484,259.15,1.03
63,Barcelona,20,ES,1614749525,87,41.3888,2.159,285.93,2.06
64,Terrace Bay,83,CA,1614750277,86,48.7834,-87.1,270.15,2.06
65,Bodø,90,NO,1614750278,60,67.28,14.405,274.26,11.83
66,Tuy Hoa,96,VN,1614750278,73,13.0833,109.3,299.55,4.67
67,Geraldton,90,AU,1614750278,57,-28.7667,114.6,301.15,6.17
68,Bara,93,NG,1614750278,19,10.3744,10.7288,296.58,4.28
69,Torbay,40,CA,1614750278,86,47.6666,-52.7314,267.59,6.69
70,Independence,1,US,1614750279,42,39.0911,-94.4155,282.04,5.66
71,Hilo,90,US,1614750279,64,19.7297,-155.09,296.15,4.63
72,Bethel,1,US,1614750279,36,41.3712,-73.414,270.15,2.06
73,Lebu,34,CL,1614750017,86,-37.6167,-73.65,287.19,5.55
74,Shāhpura,0,IN,1614750279,19,27.3833,75.9667,299.15,3.09
75,Sistranda,75,NO,1614750279,93,63.7256,8.834,279.15,11.83
76,Cabo San Lucas,68,MX,1614750279,77,22.8909,-109.9124,291.48,0.95
77,Nikolskoye,0,RU,1614750279,86,59.7035,30.7861,272.04,4.0
78,Kosiv,0,UA,1614750279,93,48.3107,25.0958,274.15,2.0
79,Navahrudak,33,BY,1614750280,96,53.6,25.8333,271.58,3.07
80,Cherskiy,89,RU,1614750280,84,68.75,161.3,241.57,1.59
81,George Town,40,MY,1614750280,74,5.4112,100.3354,303.15,5.14
82,Barrow,20,US,1614750281,76,71.2906,-156.7887,247.15,4.63
83,Praia,20,CV,1614750281,68,14.9215,-23.5087,293.15,5.14
84,Chokurdakh,96,RU,1614750281,85,70.6333,147.9167,238.61,3.07
85,Shirokiy,100,RU,1614750281,93,49.758,129.523,264.13,6.13
86,Avarua,20,CK,1614750281,94,-21.2078,-159.775,298.15,1.03
87,Gizo Government Station,96,SB,1614750281,74,-8.103,156.8419,302.45,6.71
88,Ancud,0,CL,1614750282,93,-41.8697,-73.8203,284.26,0.44
89,Nanortalik,41,GL,1614750282,90,60.1432,-45.2371,272.15,6.57
90,Ovalle,0,CL,1614750282,82,-30.5983,-71.2003,287.16,0.32
91,Mandera,0,KE,1614750282,47,3.9366,41.867,301.78,6.66
92,Sayyan,1,YE,1614750282,28,15.1718,44.3244,290.22,2.57
93,Khatanga,0,RU,1614750283,82,71.9667,102.5,237.96,2.31
94,Carnarvon,48,AU,1614750283,69,-24.8667,113.6333,300.15,5.14
95,Yar-Sale,100,RU,1614750283,93,66.8333,70.8333,258.98,7.9
96,Katsuura,20,JP,1614750283,43,35.1333,140.3,284.82,7.72
97,Albany,48,US,1614750283,58,42.6001,-73.9662,268.15,1.09
98,Leningradskiy,17,RU,1614750283,83,69.3833,178.4167,242.55,0.78
99,Comodoro Rivadavia,75,AR,1614750283,100,-45.8667,-67.5,285.15,1.03
